objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Fast Forward: FEAR","231664","4","","0","1","0","0","0","0","0","0","0","3","","","","","","57829190","5.75909","6.10076","1.0882","4395","2214","thing","Fast Forward: FEAR","2","5","15","15","15","2017","3,4,5","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Felicity: The Cat in the Sack","32125","7.5","","0","1","0","0","0","0","0","0","0","1","","","","","","57829205","6.27167","6.56874","1.3962","1631","5697","thing","Felicity: The Cat in the Sack","3","5","20","20","20","2007","3,4,5","5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Finger Guns at High Noon","276296","8","","0","1","0","0","0","0","0","0","0","3","","","","","","97147536","5.61338","6.44805","1.6","7140","665","thing","Finger Guns at High Noon","3","8","20","20","20","2019","4,5,6,7,8","7","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Fireball Island: The Curse of Vul-Kar","233020","7","","0","1","0","0","0","0","0","0","0","3","","","","","","62701487","6.43454","6.82586","1.4891","1237","12081","thing","Fireball Island: The Curse of Vul-Kar","2","4","60","60","45","2018","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Firefly: Shiny Dice","163170","4.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57832819","5.48195","5.44534","1.85","21051","1806","thing","Firefly: Shiny Dice","1","5","30","30","30","2015","1,2","1","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Flash Point: Fire Rescue","100901","6.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57829511","7.0231","7.17904","2.202","398","35760","thing","Flash Point: Fire Rescue","2","6","45","45","45","2011","1,2,3,4,5,6","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Flick 'em Up!: Dead of Winter","207016","6.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57824786","6.05561","6.68838","2.1111","2389","4735","thing","Flick 'em Up!: Dead of Winter","1","10","45","45","30","2017","1,2,3,4,5,6","2,4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"For Sale","172","10","","0","1","0","0","0","0","0","0","0","3","","","","","","57828099","7.11411","7.23452","1.2572","322","32929","thing","For Sale","3","6","30","30","30","1997","3,4,5,6","5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Forbidden Desert","136063","8.5","","0","1","0","0","0","0","0","0","0","3","","My favorite from Matt Leacock (yes, even more than Pandemic).","","","","40821611","6.97432","7.10883","2.0462","438","48848","thing","Forbidden Desert","2","5","45","45","45","2013","1,2,3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Forbidden Island","65244","6","","0","1","0","0","0","0","0","0","0","3","","","","","","57828079","6.67889","6.77767","1.739","804","81594","thing","Forbidden Island","2","4","30","30","30","2010","1,2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
